ratings,review_titles,reviews
5.0,"""Great Washer""","I had read the reviews and saw some people had a problem with the spin cycle and that their washer would just continue to rinse and spin over and over. So I made sure we did everything to avoid that and used the level on my iPhone. Well what do you know, we had that problem. Unlike people who let it run over and over, I just did the ""spin only"" cycle and shut the water off to the washer so it could not fill back up. My husband was not too happy we were having this problem, so he downloaded a ""bubble level app"" on his phone, and it showed that it was not level like we had initially thought. We had to raise the front up quite a bit and I have since done two more loads and PERFECT!One thing I really like about this, is just how easy it is to operate. I have used my moms and it will ""automatically"" fill according to weight, which I never know how accurate that can be, so I like that you can choose your load size.The only advice I have is for people to actually level it, or they will have problems, it takes less than a minute and will save you time and the pain of having a problem, and do NOT trust the level on the iPhone, it's not accurate enough."
3.0,"""Some issues at first, but not bad now...""","There is definitely a learning curve with this product, and many of the problems mentioned in reviews on other sites are a result of operator error, which I now know from my own experience...We had this washing machine delivered on 5/3/15 and ran our first load that night. We noticed that it took a fairly long time to finish, but apparently that is pretty typical of HE machines. I did another load the next day...but the cycle never stopped! It would spin to the point where it should be done and then fill back up with water over and over again; according to reviews on other sites, this is a very common complaint. After the fourth time it re-rinsed (over two hours later on the ""Quick Wash""), I powered the machine off in frustration and just threw everything in the dryer. I had not been using the HE detergent, so I thought maybe that was the cause of the problem. Tried the correct detergent the next day, but had the same issue. After SIX TIMES of the washer refilling, I shut it off again and decided to call it quits. Even when I would manually put it on the Spin cycle only, it would still fill with water. I went to Lowe's yesterday and told them I wanted to swap it out for something else, but the sales associate gave me some pointers and suggested giving it one more chance.Thanks to my conversation with the salesman and a fair amount of Internet research on the quirks of HE washers, I was able to figure out how to make this machine work correctly. First of all, HE detergent is a must (even though this particular washer only ""recommends"" it). Next, even though these HE machines do not have an agitator, you still have to treat them as if they do--position your laundry in a circle leaving a space in the center. I made the mistake of just dumping everything in there, but that will cause problems with the rinsing and spinning. Lesson learned. I also read that you should put heavier items on the bottom and lighter items on the top, but I did not do this and everything worked fine. Just something to keep in mind. Finally, make sure that it is properly balanced. If the drum is even slightly off, it messes with the sensors or something and the washer gets all confused (not to mention noisy). I used a bubble level to get mine just right. After doing these things, I was finally able to wash a load of clothes with zero issues. The Quick Wash took just over 35 minutes, which is good/average for an HE. When it started playing the song at the end of the cycle, I literally jumped for joy.All that being said, when the washer fuctions correctly, it seems to be a pretty good machine for the money. The clothes come out clean and fresh-smelling, and there is a ton of space in the drum, even after leaving an open circle in the middle. I love all the different options for water level and temp, and it's easy to use. I guess I need a little more time and experience to make a fair judgment, but so far so good."
1.0,"""Stay away from Samsung""","Stay away from SamsungPurchased a WA40J30000 series washer on 6/4/15. Washer didn't work from day one. I now entered the Samsung merry-go-round. I was told that under no circumstances would Samsung replace the washer or refund my money until their ""process"" was complete. That process involved 7 service calls and the replacement of every electronic component except the motor. The repairman finally gave up. On August 10, 2015 I received a refund check. 10 weeks without a washing machine.My issue is not that the machine didn't work. The issue is how Samsung handles the problem. This problem was identical to a service issue I had with a Samsung TV. The Samsung ""process"" insures the consumer will be inconvenienced as much as possible. Having spent 10 weeks without a washer and after spending hours on the phone and rearranging my schedule to have 7 service calls I can safely suggest it would be easier to wash your clothes over a rock on the river than buy a Samsung product."
5.0,"""Excellent Choice""","I have read reviews on this good and bad. I was a little afraid after purchasing that I would not be pleased. However, we set it up as instructed making sure it was level. Lowe's would have set it up for us and the delivery men were great, but we were not ready to install when they came. It works perfectly and is quite low noise. It does take a long time to spin out but the clothes come out much dryer after the spin than they did with my old washer. I prefer this to having to dry them a longer time. Much more energy efficient that way. I have completed 6 loads of wash so far and have only had it for 3 days but so far so good."
1.0,"""Problems from day one""","Machine #1 delivered, they made sure floor and machine was level, then made sure it ran and water was working and left. I proceeded to put a Quick Wash load in and went off to watch TV. I came back 1.5 hours later and it was just hitting the final spin. I left and came back to find it refilling with water so I waited there reading a magazine till it finished. When it was done I waited for the door to unlock but instead of unlocking it started to refill again at which point I hit pause and when it unlocked I took out the clothes and put in the dryer. Thus my nightmare began. No matter what cycle I used it always got hung in the final rinse, spin and I had to stand around and wait to manually stop it and remove clothes.I once put a quick load in and went to town and arrived back home 4 hours later to find it still running in the rinse spin cycle. SO SO UNHAPPY. I called Samsung because I know there is a learning curve with the new impeller top loaders. I was not impressed with their help because she was reading from a scripted message. She said it was a leveling issue and I told her it was not. The guys leveled the machine and I loaded all the loads the way the book said and used the recommended cycles but still the same thing. SO......I called Lowes and they cheerfully came and removed that machine and replaced it with a new one. (Same machine) Long story short it was the same issue. So I went to the store in person and talked to the appliance manager and the store manage and in the end I purchased a Samsung front loader and they came yesterday and picked up the #2 machine and installed the #3 front loader. I stayed with Samsung so it would at least half way match the new dryer we bought that matched the #1 washer. My husband wanted to NOT get another Samsung washer but I wanted to give them a chance. The new front loader works like a champ. I will review it in its place. I also found out that the day I returned #1 another customer returned that exact same machine with the exact same problem! So....... My final opinion on this machine is there is a defect somewhere and I would NEVER recommend it. However, I would also say don't judge Samsung on 1 machine.Koodos to Lowes for superior customer service because it took a numbers of calls and visits to finally get me a machine that I was happy with and never once did they make me feel like it was my fault!"
5.0,"""Great washer for the money""","When our previous washer (Maytag) died after only 6 yrs, We purchased the Samsung and have not had any of the issues that 'some' previous reviewers have posted. The first day I had to go into the laundry room to make sure it was still running because it was so quiet."
1.0,"""Not working - out of the box!""","The top loader was delivered and installed on Friday. We were out on Saturday and returned home after 9:00 PM; when we started our first load of wash (small delicates) we expected it to be done in less than 90 minutes. When two hours had passed, we noticed that the rinse cycle was constantly filling, spinning, draining, restarting over and over again. We finally shut it off manually and wrung out the clothes. When we call our local store, they reported that at least 4 of this model had been returned with same problem during the past week. They suggested we look at a different model which we plan to."
5.0,"""Great Washer""","This washer has a deep well, no center agitator which allows for more clothes, very quiet and most of all, it offers small, medium, large water supply of your choice. Most of the new machines don't offer this feature. The salesperson at Lowes was very kind to help me purchase this even though he was on his way to lunch. Wish I had his name but he went above and beyond his duties and cared enough to help me out. Great experience shopping at Lowes in Abingdon, Maryland."
5.0,"""Quiet""","My wife loves that it does not have the agitator and has lots of room for the clothes. It washes the clothes well and is a lot quieter than our old Whirlpool. I was going to buy another Whirlpool but the reviews was bad on the ones I was looking at and the Samsung was better. My Whirlpool lasted eight years I will have to see how long this one lasts it seems to have a better warranty, but time will tell."
4.0,"""Love this Washer""",My husband bought me this washer and the matching dryer. I love it and haven't had any of the problems that others have mentioned in their reviews. We did make sure that the washer was totally leveled. I really like the soft tune it plays when it is done. It sure beats a loud annoying buzzer. The only thing I wish I could do that you can't with this machine is change load size once it has started. Other than that it works great and no more bras tangled around the agitator!
