ratings,review_titles,reviews
5.0,"""Overall a good washing machine""","I have owned & used this machine over a year now. I don't trust reviews written by those who have owned a product for only a short time, especially one that takes time to learn and for faults to show, like a washing machine! Please, don't write a reviews until you have really had a chance to use a product and wait until the ""glow"" (or a bad initial experience) wears off.  With that said, overall this has been a very good washing machine. There are tons of features and I have used most. This should please almost anyone. Modest price, but features that are on more expensive units. The capacity is great. The controls are easy to figure out. We have allergy issues so the ""allergen"" cycle is great for that A few reviewers have complained about a ""smell""...I always leave the door open at least an hour or two after a wash load is emptied. When I do that, I have no issue. There is a drum cleaning cycle and used it once. But I have found there is little odor if I air it out. The drum itself is still spotless today! For the most part, I use detergent paks, and have no issues with clothes not coming out fresh and clean. I have found the liquid fabric softener dish seems to clog, but I rarely use that, and the detergent dish has no clogging problem when I have used it.. The machine is quiet and I have seen NO EVIDENCE that the labels wear out or come off!  The built quality seems good, and have had no external wear at all..still looks new. And I downloaded the ""app"" which diagnoses problem codes: never used it, so deleted it! I have NEVER had a load stop, become un-balanced or not finish for any reason! That was one of the biggest complaints I read about regarding HE Washers in general, but I have had absolutely NO ISSUES like that, with this machine. The only ""con"" I can think of, is the height of the machine. As a 6'3"" person, it can be a challenge to get the laundry out of this front loading machine. I did not purchase a stand, and if I had, that would have taken care of that!"
5.0,"""Great Appliance!""","Beautiful color. Runs so so quiet. Nice ring tones as alerts on machine. Has Steam feature that connects with dryer. The price is very competitive now as apposed to years ago for this machine. Comes with a 10 year manufacture warranty on the drive belt which says to me that the manufacturer has confidence in their appliance. Also purchased the matching dryer and is super quiet as well. Both drums hold a ton of clothing, towels, etc."
2.0,"""lasted 3 years""","Overall this is a nice washer machine with great features and smooth running. Unfortunately it is also poorly built. On the third year the spinning cycle started getting louder and louder and the whole thing would shake violently. Had a Sear tech coming to check it and dropped the bomb. The main chamber bearing is worn off and needs to be changed. I am talking about standard use, a 3 adult household using the machine 2 times a week in average.Just getting a new bearing will cost $750, bought directly form Samsung, labor will bring the total to $930. So, now we are just waiting for the washer to die and preparing to get a new one. My first and last Samsung appliance, in fact my last Samsung anything."
5.0,"""The BEST washer and dryer ever built""","I purchased a new style LG because it liiked really impressive, after two replacements, we went back to what we knew. This is their new style Samsung and it is the best washer and dryer that I have ever had. My wife loves this washer, and it is fast and efficient. It outperforms the other Samsung unit that we had, which suprised me, because it worked really well. I assure you you will be ultimately impressed with this unit along with its steam dryer partner."
5.0,"""I love em'""","I love this washer. The only thing I don't like is the smell, but it is fading. I love the chirping noise it makes. I love all the various settings. This washer has a huge capacity. I would buy this one again!! It washes very well and clothes come out smelling great. I would not pay full price for it, but I got it on a great sale and it was well worth it."
4.0,"""Nice Machine for the Price""","This review is for the WF42H5200AF 4.2-cu ft High-Efficiency Front-Load Washer with Steam Cycle (Merlot). To begin with, I want to explain to potential buyers of this machine about the negative reviews. When I first set up the washer, I thought I had everything leveled just right. The problem was, I set the level in the center on top of the machine from front to back and in the center from left to right. (It showed a true level) I did the test cycle and I thought the machine was going to go flying apart. I then leveled the machine by putting the level on all four sides, on top of course which was rear, left to right, front, left to right, and both sides front to back. After everything was leveled in this manner, I washed my first load, only taking up half of the washing machines capacity.Sure, there is only a few thumps now for the first few seconds of a rinse or spin cycle. This is normal. I have 3 friends who own frontloads. A Samsung like mine (Which why I bought mine, and I did not ask my friend about how he set his up, whish I did), a Whirlpool and an LG. They all make this little thump when going to spin or rinse.As far as the detergent tray, people are saying that they are experiencing excessive water trapped in there. Well, after my wash is done, I barely have a tablespoon of water thats left behind, regardless if i use Tide Pods directly in the machine or Tide Liquid in the tray. I am thinking those who are complaining about that, their machines are leaning down hill so to speak.Another issue I see is people wondering/complaining why they do not see much water in the machine while washing. For one, the water is in between the stainless tub and a plastic outer tub. If you look closely at the agitators, there are small holes that releases the water while in the wash/rinse mode.Now for the quality. The quality is great, except for the control panel. It is plastic of course. The red color does not match the rest of the machine, but it is close. This control panel scratches fairly easy. I have had no issues of broken or flimsy doors (Or leaks yet, I hope not) but I did buy the 5 year extended warranty.Finally, what I do like about this washer. It is quiet while washing. I can smell the cleanliness when the clothes are done. The clothes spin dry very well. This machine has cut my dryer time in half. I love the touch button controls.As with all frontload machines, remember to keep the door ajar after your final wash. This will keep your machine from forming mildew."
5.0,"""So far best washer we've had.""","This washer beats our old Whirlpool Duet by a long shot. Purchased Duet in 2006:new bearings in 2010, 2012, 2014, new MCU ($308), clothes & washer stank after use.The price was a deal, clothes are fresher smelling, spins well enough that dryer is not taking as long, & the features ease of use is great.I would recommend this washer to anyone."
5.0,"""Moved and needed to buy new washer and dryer""","I had a Samsung that was about five years old that I liked so I stayed with the brand. Does a great job with the laundry with minimal wear and tear on the items washed. Spins out very, very dry. There are a great many choices about cycle and treatment. I like that it has a spin only setting which my previous washer did not have.Not fond of the faux chrome look. Would prefer something more utilitarian looking in my laundry room but understand this is not the trend."
5.0,"""Great Machine""","No problems so far. It is real easy if you read the owners manual first. Hoses DO come with the machine. Sales man tried to sell me a set but the old ones were still good. I was just going to replace the washers but there was a new set of hoses in the washer. I got a Military discount on top of the sale price = Great Deal. Set up was a breeze did it all myself. No problem balancing. Settings are many. We ended up with the Heavy Duty, Eco warm, fast spin and heavy soil. Programed it in to memory, ""My Setting"". Clean fresh smelling almost dry clothes every time."
5.0,"""Love this machine""","I had this washing machine for a month and so far I haven't had any problems with it.Delivery was on time and after reading the manual it was ready to do laundry.I didn't get the pedestals and actually I think its best if the machine sits on the floor. It washes quietly and you don't even hear it running until it is spinning the clothes out. I don't know why some people complain that it is loud when spinning. Yes it does make noise when on the spin cycle but that is normal. Sometimes the machine does get off balance but the machine stops itself and automatically balances itself. This is normal for a front load machine because the clothes are tumbling unlike a front load washer where you place the clothes evenly and they stay that way.I tried every cycle on this washer and I think my favorite is bedding because it uses the most water. It does clean clothes real good even on normal which uses the least amount of water. The first load I did I had a shirt in the washer with oil stains from frying food and the washer took the stain out and I was impressed.Some people complain that there is water in the soap container, mine doesn't have water in the soap container. Maybe they didn't level the machine good? Also with the soap container the plastic inserts act as siphon cap, so if you don't leave the blue liquid fabric softer plastic piece in, the water will not drain.This is a good washing machine and I haven't had a single problem with it. Just remember to REMOVE THE SHIPPING BOLTS, Level the machine and RUN THE CALIBRATION MODE by pressing Temp and Delayed end at the same time then press the start button. Calibration mode is important because once the machine is leveled and isn't wobbling on any of the 4 corners, the calibration modes adapts the machines drum spinning and provides a more accurate weight level for water to be added to the machine.Now to save for the matching dryer. I am in love with laundry now, the machine performs beautifully and she is a beauty to look at too. Laundry is no longer a chore with this machine, it is a pleasure.also the seal drains real good, I do wipe it down to prevent mold and I also leave the door open a little bit so the machine can air out for a couple of hours after I used it."
