ratings,review_titles,reviews
5.0,"""Great appliance.""",Controls are very intuitive. Larger than our old one. Make sure it will fit your space. Very quite.
2.0,"""Love the size, but issues after less than a year""","I like this machine for it's size and features. It has done a decent job at washing clothes. It does get unbalanced time to time, but nothing too horrible. My biggest issue is that after 6 months the cheap ""stainless/platinum"" in the inside lip has peeled off and is now rusting. Not what I would expect for a new washer. Called Samsung and it's not covered under Warranty, so beware."
1.0,"""Washer exploded""","We purchased the washer and dryer from the store on 10/25/15. Had been using it a few times a week since it was delivered. Today we were washing a fitted sheet and mattress cover when the drum exploded. It shook the entire house and water and pieces of the drum flew everywhere. The entire front of the machine buckled out, its knocked a hole in the bottom of the dryer and the wall from the force. The entire top of the washer blew off. Called the store and we were told to call the service number. Called them and they can't send anyone out until Wednesday. Going to the store to see what they can do from there.After doing some research online I've seen 2 other videos from people that this happened to as well. Not sure what we will do next."
5.0,"""Best investment""","I have used and owned a lot of different washers. My family goes through clothes so fast and it is almost impossible to keep up with the demand of laundry! I knew and was told to make sure this would fit through my basement doors because it is 31 inches. I would have knocked down a wall to have this washer, but it fit like a glove! The features are amazing. With two dogs and two cats my bedding, curtains, and rugs need cleaned often. The allergy feature might take longer time, but its worth every minute. I can fit two queen size comforters with ease and still have room for towels! My clothes come out clean and soft. My rugs look brand new even with the Pittsburgh muddy weather. I could go on and on. Do not read the negative reviews & stop looking at what to buy. This is by far the best darn washer to get. It does go on sale for 799."
1.0,"""BUYER BEWARE!! Don't do it!!""","I bought this machine for the additional features for wash options and timing as well as the larger load capacity.Well let me just share that my house has been under construction since January and I've been living in my guest house. I was also pregnant throughout the course of this project. So going without laundry on a consistent basis has been a challenge. Starting in January I started to get the UA code which is uneven. No matter what I do to load this thing I get this code, in which you have to start the entire load over again!! Yes, I am currently still working on finishing one load from YESTERDAY MORNING!!! Apparently my kids won't have any clean bedsheets by the time school starts on Monday. As I try to move back into my home this issue CONTINUES. I have had service out here SEVERAL TIMES, they have replaced computer and NOTHING. This is the WORSE piece of JUNK Samsung is trying to pass off on their clients. I am SO ANGRY I am going to stop buying their TV's and more. I WANT A REFUND!!!!! Because all I ask as a consumer is for a working product!!"
5.0,"""Loving My New Sammy !!!!!!!!!""","Laundry used to be an all day chore since I had to make short loads on my old rusty washer that was on it's last spin. I wanted to get something I would love and would suit our needs now and for a few yrs to come. When Samsung announced the debut of this washer I started researching and following various tests and reviews, still since ""Old Betsy"" was still getting the job done I didn't want to just get a new washer.When hubby bought a Split-King adjustable bed I knew it was time for ""Betsy"" to retire.I realize there aren't any perfect machines and there will always be some bad reviews out there no matter what, they are man made machines, but as a whole this machine is well liked.I've used it very much over 3 mths now and have yet to have a problem. As of right now I can say this is the best washer I have ever owned,it's oh so quiet, has an option for our every need, and we are super impressed with the extra cleanliness of our laundry. It has to be saving us money as I was having to wash and rinse clothes 2X's in prior machine just to make them appear what I thought was clean,but once I saw my whites after 1 wash with this baby,I realized how fooled I had been thinking I was getting clean clothes before...I was finally able to wash comforters @ home and that went over without a hitch. The laundry is barely damp when I remove them which is also easier since I don't have to stand on my head anymore and I'm only 5'6""..so drying times have definitely reduced.All that time I thought I was washing my clothes they were still dirty..ewww..plus used to believe there was no way to get clothes clean without an agitator ...Wrong.....I purchased the Platinum color set online during a sale. The chat rep. was able to tell me which stores had it readily in stock to purchase and which zip code to put for that store,since hometown stores were sold out.Delivery went well,guys were on time, friendly, and knew the product wellI am happy with new ""Sammy"" now I actually look forward to doing laundry.....LOL !!!!!!!!!!"
5.0,"""Best washer I have ver had and I love it!""",The washer is the perfect size and does a great job! Sorry no cons on this product!!
5.0,"""Huge""",Love it. Normal drain pans do not fit. Had to join 2 together.
5.0,"""GREAT Set!!""",I have now had this set for over a year! I am still in love with it to this day! I love all the extra features they each have on them! They are easy to figure out how to run as well! I am still just now using some of the features it offers because I just dont have a need for some of them all the time. I would say the only complaint I have is that the dryer doesn't stay 100% quiet like it starts out but its not loud by any means! I also LOVE how much you can load them down with and they still get clean and dry perfectly!
5.0,"""Samsung stainless steel washer HE""",We got this after our old washer was not doing its job any more. I tried out the hardest wash first on my work clothes and it was better than the older model we replaced with the Samsung HE washer. They were very clean and I was very much pleased with this model. I would recommend this to anyone who is interested in a really good washer.
1.0,"""Stay Away""","Big mistake buying something I thought would be able to effectively and efficiently keep up with the washing demands in my large home. Please note that if you pay for a water bill in your town it will double once you buy this washer. Found that out the hard way and validated on the internet - seems not many people noted that in these reviews.Second, it often goes off balance and is a pain to reorganize wet clothes. To move clothes around and go to spin cycle requires me to unplug washer as the knob becomes frozen."
5.0,"""Huge washer""",I have still not had enough laudry to fill up this washer. It is huge and I love all of the specialized wash settings.
4.0,"""Great size but....""","I love the size of the drum in this model. I can wash all of our towels, including beach towels, on one load and it doesn't get off balance. Jeans, the same thing. The cycles, while varied, are still limited and the machine is louder than my Samsung front loaders were. The signal that sounds at the end of the cycle is also long and loud. Cleans and spins well."
1.0,"""Hate it""",Hate washer very much. Does not wash clothes very well. Constantly have to realign clothing and wash clothes over and over. Went for my front load washer of 13 years back to a top load that holds more clothing. I want my old washer back would love to swap it back out with a new front loader.
1.0,"""Clothes Were Still Dirty""","My husband and I were immediately attracted to this washer because of the size and steam feature. My husband is a water well driller and comes home full of mud and muck. To my dissapointment this washer did not clean his clothes. It didn't matter what cycle I used, how many pre soaks I did, or how many rinses I did, his clothes still came out filthy. I've never had this problem before with our old LG washer which did me good for a little over a decade. I think I'm going to call a repair man to see if he could repair the old washer and return this one asap! Also, the exterior of this product appears to me to be cheaply made. It scrathes way to easily! My old washer is also stainless still and I never had to worry about scratches."
1.0,"""Danger!!""","My husband and I bought this washer and the matching dryer only 5 months ago. At first we just loved the huge drum and how much wash can be done at one time. HOWEVER, there has been a major issue that has come up. While doing a load of wash we heard a HUGE crash in the basement where the washer was located. During the rinse cycle the washer came unbalanced. Due to the force of the drum inside the washer actually pulled itself from the plumbing and the control panel and lid flew off the washer!!! Our water heater was next to the dryer. The force of the washer caused damage to the water heater also. I have never seen or heard of this happening ever before. Our dryer is actually in pieces!!!!! I have a 5 year old daughter that helps me with the wash. She could of been very hurt if she was near by. Please take a second thought before buying this product. I would not want anyone to get hurt."
4.0,"""Washes a lot of clothes!""","SO much so, that when I wash a fluid it doesn't fit in my dryer! I still have my old dryer. It would probably fit in the dryer that goes with this washer."
1.0,"""BEST WASTE OF MONEY EVER LMAO !!!!!!!!""",My old washer broke down at night time. Had just an hour and a half to get another before the store closed. Yes it has all the bells and whistles. Yes it is freakin HUGE inside. And it is wider by fare than my old one so I had to make more room for it. Yes if this one breaks down I'll probably have NO WAY of getting it fixed for the company only wants your money and that's SAMSUNG.
