ratings,review_titles,reviews
5.0,"""Love! Love! Love!""","This is truly the best washer I've even owned.  Crazy but I'm so excited to do laundry!!!  I agree with all the complimentary technical info  other reviews stated. I have one minor issue but other consumers need to be aware of the depth of the drum.  I am 5'5"" and I still need to stand on tiptoes to reach items such as socks or small children's items.  One review mocked another person that had mentioned this issue,  but I do think it is relative to the prospective purchaser."
5.0,"""Best washer Yet!""",After much research we decided to purchase this washer. It washes clothes so clean and so much water removed takes no tune to dry.Very quite and easy to use.We replaced our 5 year old LG due to a rust problem LG says was cosmetic . Easy to use READ directionsGreat service from lowes and installers made sure it was level and ran checks b4 they left.  Cannot beat the price.This is one product we did invest in the 5 year warranty lowes offers at a reasonable price.
4.0,"""Jury is still out as we've only had it a few weeks""","It washes the clothes good and looks nice and the buttons are touch sensitive, not press sensitive so just touch them to activate them.  We are still learning the best settings for each type of clothes because it definitely is different from our old front loading washing machine.  The best thing about this machine is that it is quiet and can hold a lot of clothes.  No longer do I have to hear the loud noises from my old washer.  The biggest complaint I have so far is I can't seem to figure out which setting is best to prevent or decrease wrinkles for a normal load of laundry.  Many loads are coming out of the washing machine with a lot of wrinkles and my wife likes to hang dry many of our clothes and they have quite a few wrinkles in them and we both despise ironing.  We have put the clothes in the dryer for a few and they are a little better, but I wasn't expecting to run into this when we purchased this washer.  It is new and we are still learning it, so I don't want to sound like I'm negatively saying anything as it is probably just we haven't given sufficient time to figure everything out.  It works, there is not problems, and it washes clothes quietly.  That is sufficient for me for now.  Also if you are short you will need to buy a small step stool to reach into the bottom of the washer to get out the clothes.  My wife is 5' and she has to use a 5"" step stool to get everything out. I've also purchased the 5 year extended protection because my experience with any new appliance now a days is that they don't make them to last 20 years like they use to.  Usually if you get 5 to 10 years out of a new appliance you are doing good.  Hope this helps."
5.0,"""Very nice upgrade from a front loading HE machine""","We've had this machine for three weeks now and we've washed about 18 loads with it. It is like others have said, extremely quiet while operating. So far the clothes we've washed have come out very clean and it generally works fast to get the loads clean. The styling of it is modern. I've used the active wash sink a few times and I like the convenience it offers. As for the installation: We have a shelf above the machine on the wall. You should make sure that you have 61"" of space above the washer in order for the door to open and remain opened. It fit just in our space which was positive. Overall, I'm very happy with the style and the functionality of this machine. The capacity is huge. I've washed a sleeping bag in it already with no problems. It will hold all of our towels for the week. We've also been able to combine our children's clothes in with our parent loads so we are washing fewer loads each week. Highly recommend this item."
1.0,"""Do NOT Buy!""","We purchased this washer and dryer set May of 2016, due partly to the great reviews. The washer completely stopped working only 5 months later! It will not even turn on! Samsung customer service was absolutely awful to me! I went round and round with them for 6 days straight. After 2 weeks of not having a washer and having to wash my son's clothes by hand, I went in to Lowes and begged for help. They agreed to take them both back and get me into a different brand because I will no longer buy anything Samsung! Lowes was amazing! I will buy all of my appliances from Lowes but will NEVER buy Samsung again!"
2.0,"""Give it time""","I purchased the earlier model in December 2014. It's now September 2016 and the pulsator cap on the washer's tub came off. It's a cap in the very center of the bottom of the tub. In the attached photo, it's located in the very center of what looks like an airplane propeller.  When it broke, it exposed the clothes to a bare nut that holds the tub in place, or maybe the bottom of the tub in place (not a washer repair guy so forgive me). The washer came with a 3 year warranty on the tub. When I phoned Samsung I was told that the pulsator cap wasn't part of the tub warranty and was covered for only one year. I explained that the cap is in fact part of the tub because it's located IN THE BOTTOM OF THE TUB. They refused to replace the part under warranty. So, yes it's a great washer for the 21 months it held together but buyer beware. It's either a design flaw or just shoddy workmanship. Either way it's poor customer service."
2.0,"""Poor washer""",This washer has been a complete disappointment. It has ripped our clothes and twists them in knots that require ironing clothes I never had to iron before. On top of that it has broken two times in 6 months. Right now I'm sitting in my laundry room surrounded by piles of dirty laundry--trying to figure out how to pack for a trip because I know the repairman will never make it on time (from my previous experience with this broken washer). I'm wishing I'd never bought this washer. Buyer beware.
1.0,"""This Model is under recall! Do not purchase.""","I bought this washer 6 months ago, for  $899.00 with an extended warranty. Shortly thereafter it was recalled voluntarily by Samsung, because the top of the washer can separate from the machine during the spin cycle and cause damage and injury. Samsung is only willing to give me $749.00 towards a replacement Samsung washer, or I can choose to have a DISH repairman come out and reinforce the top. Reports from people that have had the repairs done are generally negative. Lowe's has not offered any assistance at all with this problem. It is a discouraging situation. Even though this appears to be a fabulous machine at a great price, don't be tempted. It won't be worth the aggravation!  https://pages.samsung.com/us/tlw/"
1.0,"""wast of money do not buy""",got a Samsung in may of 2015. it stopped working by 9/2016. wont start at all. Now i have a $700 repair bill. i would never buy a Samsung again. would give it
4.0,"""Loud pump motor or I would rate it five stars!""",There is a a lot to like about this latest design on the Active Wash 5-cu ft Top load series washer.  The other reviews cover everything you want to know about it really.  The surprizing thing I found when we got ours delivered is how noisy it is at times because of how loud the pump motor in the spin cycle.  People say the washer is quiet and it is on all the cycle oporations except when the water is being drained in the spin cycle. So if that issue ever gets addressed then I think the machine would deserve a five star rating.
1.0,"""Don't buy a Samsung Washer.  5yr lifespan.""","Purchased a Samsung WA5471ABW top load high efficiency washer in 08/2011.  Purchased 5yr extended warranty as well.  Here it is 10/28/16 and the washer is broken.  Not only that it is subject to a pending recall for exploding on the Spin cycle with a heavy load.  I fortunately 'or so I thought' purchased an extension on my 5yr warranty for $122.95 in July '16.  However, Lowes uses subpar repairmen to work on your product.  The first one had an 'F' rating on the BBB website so I rescheduled with a second one and now this one isn't showing up.  So forget the extended warranty.  It's worthless.  Samsung doesn't last.  Now keep in mind.  You're washer will wash like a champ for 5yrs.  Then it's game over.  If you only expect 5yrs then buy a Samsung.  If you're hoping for better look at another brand.  Just make sure you wash your bedding on the Gentle Cycle only."
1.0,"""Samsung washers.  You'll only get 5yrs out of it.""","Purchased a Samsung WA5471ABW top load high efficiency washer in 08/2011.  Purchased 5yr extended warranty as well.  Here it is 10/28/16 and the washer is broken.  Not only that it is subject to a pending recall for exploding on the Spin cycle with a heavy load.  I fortunately 'or so I thought' purchased an extension on my 5yr warranty for $122.95 in July '16.  However, Lowes uses subpar repairmen to work on your product.  The first one had an 'F' rating on the BBB website so I rescheduled with a second one and now this one isn't showing up.  So forget the extended warranty.  It's worthless.  Samsung doesn't last.  Now keep in mind.  You're washer will wash like a champ for 5yrs.  Then it's game over.  If you only expect 5yrs then buy a Samsung.  If you're hoping for better look at another brand.  Just make sure you wash your bedding on the Gentle Cycle only."
2.0,"""NOT FOR BEDDING""",EVERYTIME I WASH BEDDING THE SHEETS GET TANGLED UP AND THE SPIN CYCLE DOESNT WORK VERY GOOD MY BEDDING BE SOAKED
5.0,"""5-cu ft !!!""","I see few fox gave only  4 stars for something I personally consider to be a big advantage : “5.0-cu ft capacity” . Come on guys! People want to know about the washer, not about your issues with your height :-)"
