ratings,review_titles,reviews
4.0,,Active wash is very handy when you don't have a sink in your laundry room. Washes well. It is a little noisier than i expected for today's machines but nothing to think twice about. I would recommend this washer and the dryer purchased with it.
5.0,"""Best washer I've ever had""","This washer is just wonderful. I love the sink option. It is easy to use. I was a little skeptical of how clean my clothes would be but to my surprise they are very clean. The wash spins gently back and forth verses your regular agitator aggressive wash. However, the only complaint is some of the wash cycles are a little lengthy. The normal wash with aqua jet deep clean soil level on heavy takes approx 1 hr 52 minutes. There are two other cycles that take 33 minutes and 36 minutes. The bedding cycles take an hour. I thought the spin cycle was going to sound like NASCAR but it is very quiet. The loudest part of the cycle is the water draining. So I think you will be very happy with this washer. Once the washer ends the cycle it plays a cute little happy tune."
5.0,"""Wonderful Machine""","This is a wonderful washing machine for HE haters and HE lovers! The machine has lots of features and the clothes are coming out super clean with super fast cycles. Much better than my old HE whirlpool Cabrio machine. The Samsung is still an HE machine but seems to add significant water and has special sprayers, and if you feel you still need more water you can press the Water Jet button on the sink and add even more water. I love the sink! Great feature! Also very durable all stainless steel inside drum. Also noticed the lid unlocks quickly. Best washer ever! The washing machine is more expensive but worth it; however to save a few dollars we just got a Maytag basic dryer which is working great."
5.0,"""LOVE this washer.""","Coming from someone who replaced a front load with this one... Bought the white one a few weeks ago, no problems. I love it. It cleans well, huge capacity! I can easily wash my king size comforter. Huge plus. I only gave it an average on the features because it does not have a button to automatically perform another rinse, you have to go back after the cycle runs and turn the knob to rinse. This is my fault for not noticing that before I purchased. My husband has very very dirty garage clothes which it cleans no problem, but I used to run another rinse just to be sure because of the high efficiency-less-water thing. No big deal because I am so happy with it otherwise. It's a good buy. Have used the sink a few times too. Very handy."
1.0,"""Terrible warranty experience""","My washer and dryer both failed in the first 9 months. The Samsung warranty process will drive you out of your mind. You will experience the typical overseas call center runaround and multiple phone calls wanting you to to do silly tests, until they finally assign a local service person. Don't buy Samsung!!!!"
5.0,"""Quiet, High Quality, Works Great, Fun & Easy 2 use""","Keep in mind this is a review after my 1st load- I plan to update this review after a few weeks. Initially very happy with the smooth sleek design and control panel. Sound effects are cool! Quiet while in use. Be sure to follow full installation- many people hook up hoses & go, don't forget to LEVEL MACHINE! I believe that's why some people's ""exploded"". Also completed the job much quicker than our previous 3 year old GE set. The first load I did was a single ""hand wash only"" sweater. I ran it on Delicate with ""no spin"" thinking that's best for hand wash. It did a great job and was cool seeing washer in action through lid (you can still see through the built in sink, I was concerned about that). When completed it did a long happy sound! Sweater was soaked tho, so I ran ""spin"" cycle only on LOW speed and it came out perfect. Highly recommend reading basics in manual b4 using, found very helpful to know all options and capabilities of this machine. Manual even offers helpful tricks like adding some towels to a load with a single item to help balance machine. I had no problem but it was good to know of that option. Add Garment feature is nice! Haven't tested built in sink yet.. Sink did not get in my way while removing items as some suggested. Love Self Clean feature-recommended to run every 2-3 months to keep odor, buildup & mold from inside machine! Lowes was great at explaining basics upon delivery too. Love the gray color! I accidentally put my liquid detergent in tub forgetting about dispenser- my cream sweater still came out great, so no worries if you do the same! But they recommend using the dispenser as it's made to dispense at appropriate times. Also says to add ""color safe"" bleach to detergent not bleach dispenser. I never knew that! Great manual!"
5.0,"""Surprise Christmas Purchase!""","My husband and I had a totally ancient washer and dryer set from when we first got together. This year we welcomed fraternal twins boys and with all of the extra loads of laundry the old set were really straining and were starting to die.We purchased this washer and it's matching dryer for the set. They are both good looking and fairly easy to use. The design is bigger on the outside than our old set but I can put two loads into the new washer and still have room left. It's huge in there. I was a bit concerned that one woman said her washer had ""exploded"" (her word, not mine), after reading online and looking at her pics I think it wasn't installed right and it was off balance. This washer needs to be level. It's important. Also, I see some people say it's loud but compared to our old washer this thing is super quiet so it's all relative.All in all, I believe this washer does a great job. It is definitely worth the money we paid for it and I would recommend it to a friend."
5.0,"""So far, so good.""","I agree with everyone's assessment that this is a quality washing machine with great features. However, I also agree that it is too noisy when pumping water out of the drum. I would think that Samsung can find a way to eliminate the horrible vibrating metal-on-metal noise which would make this machine nearly perfect."
1.0,"""Washing Machine Broke after 5 Cycles""","We were very excited to splurge a bit on this new washing machine. Unfortunately, after the fifth cycle, within 3 weeks of ownership, it began to leak significant amounts of water out the bottom during the wash cycle. Our new townhome now has water damage through to the next floor down.More disappointing is how Lowe's has handled this issue. They gave the local service provider our wrong address, which has led to a delay in the repair. The local service provider is unwilling to work on the machine because he would scratch up the platinum finish, though neither Lowes nor Samsung is willing to commit to replacing the machine, let alone repairing the damage to my new home. So now we've been a week without any resolution to the issue, and I've lost a day's worth of work just trying to manage the whole process."
4.0,"""Great features and good value but a bit loud.""","We just had the washer and dryer installed a few days ago and so far really enjoy them both. The sink in the washer comes in handy as we don't have an actual laundry room with a built in sink. We have already used it a few times. The washer comes with a lot of great features and is easy to use. Hit the power button, set the dial, a few options if you wish, and off you go. We also enjoy the ""geeky"" features of the washer. The small things such as the LED show when you power it on to the tune it plays when the cycle is complete, much better than the old ""BUZZZ"".My only complaint about the washer would be that it is a bit noisy. Our laundry closet is located right next to the living room and you have to turn the volume up on the TV to overcome the extra noise when the washer is on. If your laundry room is away from the family area, I doubt this would be a concern for you. Overall, great machine for the money!"
