ratings,review_titles,reviews
3.0,"""Great washer, but don't stack this set""","Love the washer, although it's annoying when it plays music all the time.  The main problem is that I bought this set to stack, ordering sight-unseen online.  Unfortunately the control panels tilt backwards about 20 degrees which is fine if they are on a pedestal, but with this set stacked it's impossible to see the dryer controls without a stepladder.  My home was flooded out with 4 feet in the WV floods and I rushed to get the laundry room flooring in so we could finally wash clothes again, or else I'd have returned them."
5.0,"""Excellent Washer""",Purchased this washer a couple weeks ago. So far it does an excellent job. Very easy to use. I wipe around the edge where it builds up water and stick a couple paper towels to absorb the excess water and also take the tray where the detergent goes and wipe it out. The last one I got built up mildew and I didn't like that. Hopefully they've improved this but just in case I didn't' want to take a chance. Purchased a base for it but it comes in this week. I need some storage and it's too low not to have one.
5.0,"""Great deal""","I am still trying to get used to this washer. I have to read the instructional manual each time I use the washer., but the clothes are amazingly clean. Glad I made the purchase."
2.0,"""Less than Thrilled""","Bought the washer and dryer set in July. In November the washer began not working properly. Press start, it would lock the door, but not start the cycle. Called Lowe's and was referred to their Service Line. Was handed off to Samsung (will call within three days.) Samsung never called and when I called Lowe's Service, was told Samsung had arranged an appointment for Dec 13th, two weeks after my initial call. Washer is now leaking. Service for a five month old washer is terrible."
1.0,"""Samsung AddWash""","I just bought this washing machine and dryer slightly over a month ago.  After almost a month, there was a slow leak.  The company that serviced it thought it was coming from the door but there was no other leak since then.  About a week and half later, the machine wouldn't drain.  I restarted the cycle and again it wouldn't drain.  I manually drained it.  Then started the cycle over again and water came gushing out of the bottom.  I have talked to three different managers at Lowes.  They said that since it was a week over the 30 days they would not return it.  Then I called the Samsung service department to get someone to fix it and the company they gave me will not come out until 5 days later.  Very disappointed."
1.0,"""Sooooooo disappointed... Washer First Load Failure""","We had such great hope and excitement as we took delivery of the Samsung Front Load washer and dryer “of our dreams”…  Then we did the first load of wash  with it.   6 or 7 minutes into the first load cycle, the machine started beeping and we got a “4C” error code on the faceplate.   We read the manual and it said it was either a water supply issue or a drain issue. Verifying water pressure was not the issue, we checked the hoses, all fine and none kinked, checked the drain hose and water was coming out the hose and into the drain pipe.   Followed the manual and proceeded to let it sit 2-3 minutes and restart the cycle… again, 6-7 minutes into the cycle a 4C code.    So now we decide to get the water out of the unit and remove the clothes to do the load my GFs mom's house and call Samsung.    The unit continues to fill and the drum turned.  It seemed longer than it should be so I was watching the unit and noticed water coming out of the bottom of the Add Door and dripping down the front of the washer.   I opened to Add On door to see what was going on and water began pouring out the Add Door and all over our new Pergo Floor….   We immediately unplug the unit to avoid electrical shock, Shop Vac the water out of the drum, remove the clothing through the Add Door and drain the water out of the unit.   Placed a call to Lowe's (where we bought it… and they were fantastic and very responsive).   They took the units back and we have new Samsung top loader washer and matching dryer on order.   Yes, we went with Samsung again (every TV in the house is a Samsung)… even BEFORE we called customer service.   I placed an email to Samsung about the possible floor damage and the fact we had the issue with the first load of a brand new Washer, also asking for a free extended warranty on the new units to restore my faith in Samsung.   I received a phone call today, acknowledging my email,  that they documented the possibility of future floor warpage or mold, and the fact they would not address an extended warranty, even though I was an extremely loyal Samsung customer.   Disappointed to say the least.    If they had just given us the extended warranty, I would have rated the unit and Samsung 5 stars…   I truly hope we have no issues with the Top Loader or Samsung has probably lost a lifelong customer…."
1.0,"""EPIC FAILURE PT 2""",Purchased 18 Jun7 August machine is pouring water and flooded my laundry room.Called to get fixed. Forwarded to Samsung since it's under warranty. Working with SAMSUNG for 3 days to identify a repair center that will fix this.*If you stack this washer unit they will not fix it. You will have to have them unstacked yourself.*I am warning you that any service you may want to have done in the future will require you*to unstack them on your own and then restack them when the repair is complete. Needless to say i'm not pleased with the quality and durability of the machine. I'm even more disappointed with Lowes and Samsung customer service. #EPICFAILURE #LEMON #TELLALLYOURFRIENDS
2.0,"""Pick another brand""","I've had this washer for about 6 months now, and I really wish I hadn't spent so much money on a washing machine that is no better than other washers. I've had nothing but problems since receiving this washer. The first one I got had to be returned because of uncontrollable shaking. The one I have now doesn't shake but the small door got stuck and the washer wouldn't start so I had to pull it hard and a plastic piece fell off. Now we have to hold the door shut when we start the washer. Also the little door is overrated. You have to stop the washer to put anything in the small door and it's easier to open the regular door to the washer when not in use. I wish I had went for a less expensive and more reliable brand."
1.0,"""Flooded my laundry room!""",First time I ran this machine it leaked everywhere from the back and sides of the unit flooding my laundry room.  Waiting to hear from Samsung still but so far Lowe's has been helpful.  Will be looking for a new machine since leaking sounds to be a common issue with these.
5.0,"""Very good.""",We bought this machine a week ago and we really like it.  It is so quiet and cleans great.  It is easy to use and with the storage underneath it is easy to load an unload.  The add wash feature it is very useful if you forget something. The clothes come out less wrinkled then the top loaders. Really quiet.
1.0,"""Another letdown by Samsung""","Despite knowing better than to be burned by Samsung again as our previous Samsung washer and dryer were both repaired on multiple occasions, we chose to go with Samsung again after the washer finally failed. Spent Father's Day waiting on the new set to be delivered, and less than 24 hours later the washer is not working. So the consumer will once again be spending a day away from work not being paid to wait for another one to be installed once it becomes available. Of course its not just work time and money lost, family time and more money will be gone as we spend our evenings at the laundry mat. Beyond disappointed."
5.0,"""Best Decision""","It took me two years to pull the trigger on purchasing a new washer and dryer.  I did my research and decided to go with a front load instead of a top loader because of the gentleness on the clothes.  I wasn't fond of not being able to add laundry to a front loader as I am always finding stray socks, etc that need to go in after I have started a cycle.  This Samsung is what we chose and boy was it a great decision.  I was conflicted on the steam cycle, is it a gimmic? Well, today I got my answer.  My daughter came home from school sick, she had vomit all over a brand new pair of paints that had a white pattern.  I put them in a normal cycle, it still had a noticeable spot on the front of them, then I put them in the steam cycle.  They look brand new!!!  She was so happy that she gets to wear her pants again.  Other than this, it is a quiet machine, our water bill has decreased by $10-15 per month, looks fantastic.  We purchased the matching dryer and I love them both."
5.0,"""This machine is glorious.""","I upgraded to this from my old agitator style washer.  I was a little nervous because of all the problems I read about with front loaders.  But so far, I have nothing but praise for this one.  I have been able to wash things without damaging them or shrinking them for the first time in years.  Sweaters? BOOM, done. Huge down alternative comforters? BOOM, done.  Work uniforms and workout attire that just smell kind of funky because of dried sweat?  BOOM, done.  If you take the time and read the manual and really think about what cycle you choose, everything comes out great and so fresh. I also use the steam setting and up the spoil setting if I think a load is specially stinky. That helps a lot.  There was one time when I tried to just a normal cycle on a sweaty uniform, and it didn't come out great, so definitely pay attention to the settings you use.  The same uniform ran in the heavy soiled cycle with steam came out smelling wonderful. I can't stop smelling my clothes.  I'm also amazed that the more powerful settings don't seem to damage my clothes or shrink them.  I also love the allergy cycle, which was one of the main features I wanted in my new washer.  It's wonderful and my sheets come out so fresh.  I usually try to wash all my loads back to back whenever possible, and I carefully dry out the rubber seal in the door and the detergent canisters after I'm done using it.  I haven't had any trouble with mildew smells, and my house is pretty much a breeding house for mold (it's shaded and we live in a humid area).  Another thing I like is the end of cycle music.  It's a happy tune that sounds like an ice cream truck. I leave it on, but it also can be turned off.  I was happy also that the delivery guys left me the shipping bolts when I asked.  They are huge so I hope I can figure out how to put them in when I move again.  The only thing I am having a little trouble with is getting it balanced perfectly.  There's just this one part in the rinse cycle where it jerks a few times violently, despite being perfectly sturdy and not wobbling any other time.  Adjusting the feet doesn't seem to be something you can do yourself, because the washer is so heavy.  You also need a tiny wrench to do it.  The only thing a normal wrench will do is adjust the plastic shield that fits over the actual metal part you need to adjust. It seems like you actually need one of those flat metal wrenches (the type that often comes in the page of things you need to assemble).  I might call Lowe's and see if they can send someone out again.  My house is older so I think the floor might not be perfectly level.The matching dryer is very powerful.  Most of my loads with the exception of bedding are not that big, so the dryer really seems to dry everything FAST.  It's a little concerning that the dryer won't end the cycle even though the clothes are dry.  So I've been getting the hang of it and getting my clothes out earlier.  During the first week of using it I was still worried about shrinking my clothes because that's what my old dryer used to do, so I would use the low heat setting.  I found out that the low heat setting on this dryer doesn't have very much heat at all and you actually are fine using medium heat.  Nothing has shrinked so far."
1.0,"""Horrible""","This washing machine is terrible! One day after delivery we started having problems! The matching was shaking uncontrollably and making loud screeching noises. After multiple service calls and being told the machine is just loud we finally had someone agree that the machine was broken. It took about 3 weeks in order to get lowes to replace the machine. For about a week, the new machine seemed to be fine. Now, the uncontrollable shaking and screeching is back. Also, during one load, the machine started leaking water. I don't know what to do at this point. This is an absolute piece of junk machine. Don't waste your money!!"
2.0,"""Big Mistake!!!!""","This washer has been replaced twice and neither one worked properly, both washer lasted less then a year. They replaced nearly every part on the washer they could until for the second time they refunded our money for the purchase price of the washer.  Always buy extended warranties they don't make things like they use to."
2.0,"""Interior glass cracked""","After using the washer for less than three months we noticed a crack emerging from underneath the plastic insert.  We contacted Samsung immediately.  They are refusing to fix stating it is physical damage and not covered under warranty.  The problem being, moisture is building up on the inside of the glass which we are unable to get too and the crack continues to spread.  Given there is no bulls-eye indicating impact during use, it was likely damaged during assembly at the factory and/or related to the stress created in the glass as it was being shaped/cooled.  This is an expensive machine and should not be experiencing these types of issues without resolution from the company."
1.0,"""Broken after only 7 months of use""","Purchased the washer the beginning of July and waited until the very end of August for delivery after the first 2 came in damaged. After only 7 months it is not working error code 4C. So far 2 companies and 6 appliance repair visits it is still broken. I am now nearing 2 months without a washing machine and it is 3 ring circus between the repair companies, Lowes and Samsung. Works great as an expensive paper weight!"
5.0,"""GREAT WASHER & DRYER""","I purchased the set on August 18 ,20016 , it was delivered on September 18 .I absolutely love it but I hate the way the knob is starting to tarnish ."
4.0,"""great washer""",We have had this washer and matching dryer for a few months now.  We swapped from a top loader to this one.  We have been using powder detergent (Just using it till we run out) and has been working fine.  The instructions are easy to use and everything hooked up easily.  There are a lot of settings to clean and the sound is loud enough to hear from anywhere in the house.
3.0,"""Love the size""",When they installed the water hose was broken and had to replace the washer. Every so often I get error messages. But I love that I can get 2 loads into one and the clothes are very clean
5.0,"""Best washer and dryer (gas) set I have ever owned""","I bought the washer with the gas dryer over the July 4th holiday 2016 and they are amazing . Not sure why there are a couple of reviews stating that this washer is the worst . I guess everyone needs and wants something to complain about because I have had no issues and going on eight weeks and no problems and unlike anything you buy you are going to have a lemon in the bunch but that does not make it a bad washer , I could see if everyone who bought this washer complained , then I would've believed them but they have not ."
1.0,,There is no review to accompany this rating.
1.0,"""Lowe's should pull every Samsung washer""","I purchased a Samsung washer 2.5 years ago that is now recalled.  I bought from Lowe's and purchased the extended warranty.  Now samsung is offering a whooping $241 towards a new product and Lowe's is willing to ""prorate"" my extended warranty.  These are the worst washers and after reading some of these reviews wouldn't be surprised if the front loaders are recalled next.  if they, know that Lowe's won't do anything to help you."
3.0,"""Does not come with WiFi dongle""",Nowhere does it tell you that you must buy these separately until after you get the machines and find they are not included.  It would be nice if it was mentioned on the website.
5.0,"""Amazing features!!""","I recently purchased this model when my other samsung washer was recalled, plus it has the steam cleaning option and my other washer did not. The most important thing about this model (all samsung washers) is that the machine has to beleveled perfectly or else the machine will throw itself out of balance and move across the floor during the spin cycle, even if it's just a little bit out of level. Once you spend about 45 minutes to an hour leveling the machine, it works great. The steam cleaning option does do a great job. The washer also is ""Smart Home"" compatible butI haven't figured out why anybody would want an app for their clothes washer on their phone, I mean it's hard enough for me to remember or find the time to do laundry while I'm at home, what do you think the chances are of someone whipping out their phone while they're at work or wherever and checking the status of the washer's spin cycle, please, get real."
4.0,"""very good design!!""",I like the design and feature and easy to use. Also the interactive feature is what I like it
5.0,"""Great so far!""","Just got it yesterday, Washed towels and they came out very soft. I love it! My only complaint is that I can't get the app that goes with it to work properly."
5.0,"""This Washer Could Wash a Family of Four! LOL""",The drum on this washer will hold 15 pairs of adult size jeans.
5.0,"""Love this washer""","This is our first front load washer and its great so far! Easy to operate, stylish, and energy efficient. The AddWash feature does come in handy."
5.0,"""NICE DESIGN AND COLOR""",I just started using this product and there are lots of features to choose from and have lot of setting.
5.0,"""This washer is great! Excellent features and performance!""",Excellent features and performance! This is my second Samsung and they keep getting better!
5.0,"""Options for the whole family!""","I love that the washer has options for active wear, linens, and steam. The add wash door is also super useful. Runs quiet. Nothing to complain about!"
5.0,"""New Washer""",I just received my new Washer and I love it great product
5.0,"""Front Loading Washer""",Best washer I've ever had. I'd recommend this item.
5.0,"""This Samsung frontload addwash washer undoubtedly is the best I've ever owned""",This Washer is great it does just about everything except talk to you although I haven't had the chance to read the owners manual maybe I should and I will I always do for new products I purchase its a mandatory thing you just have to do to ensure you're using your product properly but lets get back to the digitally controlled Samsung WF6500 washing machine. The digital controls makes this machine so easy to operate I couldn't resist I washed two loads as soon as the machine was installed and operational its great its able to wash larger loads than the machine it replaced which is only two years old and still works but can't touch this machine I washed a queen size comforter with no problem I definitely couldn't do that with my old top load agitator This is great this undoubtedly is the best machine I've ever owned and at age 68 to be 69 next month believe me I've owned quite a few I was always hesitant to purchase a front load washer I used to hear so many bad things about them. But the science on this machine is so advanced my clothes came out super clean I love it I would recommend this machine Its one of the best if not the best machines on the market clean super clean I mean really clean cloths and after the final spin by the washer the dryer didn't have to work as hard as it did with my old washer I could go on and on but I think more than likely you get the picture what a great product.
4.0,"""Love this washer ? Start of spin cycle noise.""",I love this washer. Just wonder why it makes a loud sound when it starts the spin cycle?
5.0,"""Wash machine""","Just got it installed on the 13th, so far I like it , it's very quite and I like the features it has."
5.0,"""Samsung washer""",Love my new washer runs quiet uses very little water clean clothes extremely well love the new colors holds a lot of clothes I would highly recommend this washers valuable asset to any family
5.0,"""Excellent washer""","I like the washer and seems to perform very well. The only thing I didn't like or maybe it's just me. When I select towels and want to put it at a higher temperature it won't let me, so I have to choice another setting. Not sure if I'm doing something wrong or maybe I just can't do this. Another thing when I went to do the self clean it took 3 hours to perform. I'm not sure if it uses a lot of water or why it takes so long. I like the feature, but I don't know if I want to do that very often if it takes that long or uses a lot of water. If someone knows please let me know. So far I really like it and does an excellent job. Maybe I just need to get use to it."
4.0,"""Love the new feature to add laundry""",I appreciate the layout of the types of cycles offered and the late add of clothes during the load.
5.0,"""This product has really great features""",I love this washer and all of the various settings that it offers. I'm a happy customer so far!
5.0,"""Love the washer""","Replaced the old washer my house came with, and i couldn't be happier. Gets clothes clean, works great with Pods. The add detergent drawer is hard to pour bleach into without mixing it with the fabric softener though, that is the one down side and there was really no reason for it to be so tight in there."
5.0,"""Initially impressed""","Just installed new washer so very limited use so far. Initial impressions are very good. Very intuitive controls, quiet operation and shorter cycle than my old washer."
5.0,"""Best Washer on the Market""","I love this washer, everything I could ever imagine wanting in a washer, every option imaginable, works perfectly."
5.0,"""Easy setup, 2nd time with Samsung""","Our previous model was similar, but 7 years old. Unfortunately the part that gave out it was more cost effective to replace than repair. We were also fortunate that although Samsung has changed the mounting brackets for their newer pedestals, ours existing pedestal still worked with the newer washer. Has the capability to be used through a smartphone but still waiting for the USB stick to arrive. Transition to the newer washer was very easy staying with Samsung. So far all is well"
5.0,"""The Beast of a Washer""",I am very pleased with my Samsung front loader. It gets clothes really clean while being ECO friendly. The black stainless steel is a great look!
4.0,"""GREAT FEATURES""","I love the Add Door ,I allways forget something.I will give another update due to only had the washer for 2 weeks ,but overall at this time its a great washer."
5.0,"""Awesome machine""",This product is great. We are loving our new washer and dryer.
