ratings,review_titles,reviews
4.0,"""So far so good, HOWEVER........""","Why so many problems with this washer later on in years?  Look at this site:  https://www.google.com/search?q=spider+problems+with+Samsung+washers&ie;=utf-8&oe;=utf-8It deals with the Spider bracket the holds the drum, the metal corrodes due to incompatible metals joined together. So will this washer only last maybe 5 years until drum starts shaking?"
5.0,"""Great machine and adapters are now available""","Purchased this and the matching dryer during Memorial day sale. Lowes delivery was great and they installed it on our custom pedestal with care for the walls etc. The machine works great and handles all the laundry my family of 5 can throw at it. The wifi adapters weren't available on the samsung site at the time (not even listed). About 2 weeks later they were listed and I ordered them, but they were out of stock and on backorder. They came into stock the last week of June and were here via fedex in a couple of days. Easy setup for those with our home router. The positive controls of the machines is a neat feature, but we really love getting the alerts when the cycles are done on our phones in case you are out of range of the chime. The clothes are cleaner than our other washer/dryer set, they dry faster, and the machines are quieter. Even with high speed spin, you might hear it spinning, but ZERO vibration through the machines/floor/walls/etc which is important because ours is on the second floor near bedrooms. I did make sure to purchase new stainless hoses with flow controls (had them in the past and they are worth it) and bought the protection plan (one pump or LED screen and it will pay off quick)."
3.0,"""Good idea. Good concept. Poor quality""",I purchased this washer and dryer set and had it delivered on may 17th 2016. The product arrived just fine. Within the first 5hrs of using it I noticed that 2 of the led lights to for the modes were not working on the dryer. I called Samsung and they stated that it's cosmetic and does not affect functionality therefor if I wanted it fixed it would be up to Lowe's or out of my own pocket.  Second off it states there is an available wifi module to connect the set up to wifi and control or monitor remotely. This is the feature that swayed me from lg as I have a lot of nice clothes and if for some reason I was out a little longer than expected I would love the option to turn on the wrinkle free setting remotely so I don't have to fight and iron extremely wrinkled clothes later or run them thru a steam cycle. I iron daily bit if you have ever tried to iron severely wrinkled clothes you know how much of a pain that is. Well samsung had no clue to what this adapter was. Said both my new washer and dryer was broke and wanted to send someone to fix it. After several phone calls and multiple supervisors I was finally informed that this is not released yet and should be out by the end of the year. Pretty messed up as all documentation says it's available now.  On a positive note the washer and dryer work great at cleaning and drying clothes. I have never had or used a washer and dryer that performed so well. If Samsung could get their act together and know/support their products this would have easily been rated 5 stars in all categories. Had it not been for the above issues I would recommend these to anyone and everyone. If I ever have to buy anothwr washer and dryer I will seriously be giving LG a good long look and probably going with LG in the future. If your u can deal with the potential issues and have no worries about maybe eventually getting the wifi adapters then I would highly recommend these as they clean and dry clothing on a whole new level.
3.0,"""Washes well until filter clogs""","Long story short: Washes well but pump/debris filter needs to be cleaned (human/pet hair) every 2-3 weeks, much more often than Samsung advises! Even if you manually drain residual water from machine, about a QUART gushes out when filter is opened. Unacceptable to me and probably most others but Samsung claims this is ""normal?"" Good luck...!"
4.0,"""Beautiful machine with vibration issue""","I received my beautiful new washing machine on December 2nd 2016 and the first load of wash shook the machine so hard that the corner piece of the pedestal shook off of the machine.  This was not a huge load, but did include two pairs of jeans, two towels and socks and underwear.  I will adjust my rating later if I see an improvement."
2.0,"""new waher dosen't workin""",I bought this washer 4 days ago new last night I calibrated and I stard washing it dosen't finish the cycle and sounds like a train and it moves so bad that scratched my new paint. They are going to replace it but lets see how it goes 9/14/16
1.0,"""HORRIBLE customer service""","Received this matched set couple of days before Thanksgiving, 2016.The installers failed to properly setup washer. The interior light didn't work. Had issues with the washer being balanced. Didn't know until the installers had left. While they were here I pointed out that it wasn't balanced and they adjusted it a little bit. Lo and behold, first load squeaked loudly.To top this off, I contacted Samsung and their service repair a specialist would contact me within 24-48 hours.Six 6 Days later I call back to find out my ticket was cancelled! The manager told me don't know why. This is my first experience with Samsung and probably my last! I will NOT recommend Samsung appliances to any friends. Maybe an enemy.lol"
5.0,"""Great Steam Washer""","Love the Steam cycle, it just makes your clothes clean fresh and crisp"
5.0,"""easy to use and it is very quite""",Wash fast the clothes come out clean and smelling good.
5.0,"""Awesome washer""",Love this washer. Cleans great. Looks nice. Plenty of options to choose from.
