Year,Quarter,rating,Count of review
2014,Qtr 2,5,2
2014,Qtr 3,1,1
2014,Qtr 3,4,1
2014,Qtr 3,5,3
2014,Qtr 4,2,2
2014,Qtr 4,4,3
2014,Qtr 4,5,14
2015,Qtr 1,1,3
2015,Qtr 1,2,1
2015,Qtr 1,4,6
2015,Qtr 1,5,12
2015,Qtr 2,1,3
2015,Qtr 2,2,1
2015,Qtr 2,3,1
2015,Qtr 2,5,9
2015,Qtr 3,1,4
2015,Qtr 3,2,2
2015,Qtr 3,4,2
2015,Qtr 3,5,15
2015,Qtr 4,1,5
2015,Qtr 4,2,2
2015,Qtr 4,3,2
2015,Qtr 4,4,10
2015,Qtr 4,5,29
2016,Qtr 1,1,5
2016,Qtr 1,3,5
2016,Qtr 1,4,28
2016,Qtr 1,5,99
2016,Qtr 2,1,10
2016,Qtr 2,2,1
2016,Qtr 2,3,2
2016,Qtr 2,4,33
2016,Qtr 2,5,98
2016,Qtr 3,1,15
2016,Qtr 3,2,7
2016,Qtr 3,3,3
2016,Qtr 3,4,35
2016,Qtr 3,5,137
2016,Qtr 4,1,16
2016,Qtr 4,2,4
2016,Qtr 4,3,3
2016,Qtr 4,4,38
2016,Qtr 4,5,127
2017,Qtr 1,1,14
2017,Qtr 1,2,7
2017,Qtr 1,3,5
2017,Qtr 1,4,28
2017,Qtr 1,5,131
2017,Qtr 2,1,17
2017,Qtr 2,2,1
2017,Qtr 2,4,12
2017,Qtr 2,5,90
2017,Qtr 3,1,3
2017,Qtr 3,2,1
2017,Qtr 3,4,2
2017,Qtr 3,5,14
